Направление;Запрос;Объём Ahrefs RU (Google, мес.);Сложность KD;Wordstat точная (из yandex-wordstat.csv)
29 Лазерная резка;лазерная резка металла;1000;0;
29 Лазерная резка;лазерная резка;600;5;
29 Лазерная резка;лазерная резка нержавейки;500;0;
29 Лазерная резка;лазерная резка нержавеющей стали;300;0;
29 Лазерная резка;резка нержавейки лазером;200;0;22
29 Лазерная резка;лазерная резка металла нижний новгород;50;0;
29 Лазерная резка;лазерная резка нижний новгород;40;;
29 Лазерная резка;лазерная резка нержавейки нижний новгород;0;;
10 Анодирование алюминия;анодирование;900;7;
10 Анодирование алюминия;анодирование алюминия;600;0;
10 Анодирование алюминия;анодное оксидирование;80;0;
10 Анодирование алюминия;анодирование алюминия цена;70;0;
10 Анодирование алюминия;цветное анодирование алюминия;30;14;
10 Анодирование алюминия;анодирование нижний новгород;0;;
1 Цинкование;цинкование;400;0;
1 Цинкование;цинкование металла;300;0;
1 Цинкование;гальваническое цинкование;150;0;
1 Цинкование;цинкование деталей;50;0;
1 Цинкование;черное цинкование;30;;
1 Цинкование;цинкование с хроматированием;20;;
1 Цинкование;оцинковка деталей;20;;
1 Цинкование;цинкование цена;20;0;
1 Цинкование;желтое цинкование;10;;
1 Цинкование;цинкование крепежа;10;;
1 Цинкование;цинкование нижний новгород;0;;
25 Пассивация;пассивация;300;0;
25 Пассивация;пассивация металла;150;0;
25 Пассивация;пассивация нержавейки;150;0;
25 Пассивация;пассивация нержавеющей стали;80;0;
8 Травление (хим. пас);травление металла;150;0;
8 Травление (хим. пас);травление нержавеющей стали;40;;
8 Травление (хим. пас);травление нержавейки;30;0;
8 Травление (хим. пас);травление сварных швов;0;;
8 Травление (хим. пас);травление и пассивация;0;;
30 Гидроабразивная резка;гидроабразивная резка;350;17;
30 Гидроабразивная резка;гидроабразивная резка металла;300;6;
30 Гидроабразивная резка;гидрорезка;200;0;
30 Гидроабразивная резка;гидроабразивная резка нижний новгород;20;;
9 Хим. оксидирование стали;воронение металла;350;0;
9 Хим. оксидирование стали;оксидирование;250;0;
9 Хим. оксидирование стали;оксидирование стали;150;0;
9 Хим. оксидирование стали;химическое оксидирование;100;0;
9 Хим. оксидирование стали;химическое оксидирование стали;50;0;
18 Хромирование;хромирование;250;0;
18 Хромирование;хромирование деталей;250;0;
18 Хромирование;гальваническое хромирование;80;0;
18 Хромирование;твердое хромирование;20;0;
18 Хромирование;хромирование штоков;0;;
18 Хромирование;хромирование нижний новгород;0;;
4 Никелирование;никелирование;350;0;
4 Никелирование;гальваническое никелирование;60;0;
4 Никелирование;никелирование металла;50;0;
4 Никелирование;никелирование деталей;50;0;
4 Никелирование;блестящее никелирование;0;;
5 Хим. никелирование;химическое никелирование;100;0;
23 Фосфатирование;фосфатирование;300;0;
23 Фосфатирование;фосфатирование металла;150;0;
23 Фосфатирование;химическое фосфатирование;40;0;
12 Анодирование титана;анодирование титана;400;0;
Хаб: гальваника;гальваника;2500;1;
Хаб: гальваника;гальванические покрытия;150;0;
Хаб: гальваника;гальваническое покрытие металла;90;0;
Хаб: гальваника;нанесение гальванических покрытий;80;0;
Хаб: гальваника;услуги гальваники;40;0;
Хаб: гальваника;гальваника на заказ;20;;
Хаб: гальваника;гальваника нижний новгород;0;;
19 Серебрение;серебрение;150;0;
19 Серебрение;гальваническое серебрение;150;0;
19 Серебрение;серебрение металла;50;0;
27 Шлифовка продольная (плоская);шлифовка металла;250;0;
27 Шлифовка продольная (плоская);плоская шлифовка;30;;
27 Шлифовка продольная (плоская);плоское шлифование;20;;
27 Шлифовка продольная (плоская);шлифовка металла на заказ;0;;
Есть: /uslugi/shlifovanie/;шлифовка нержавейки;70;0;65
16 Оловянирование;лужение;200;0;
16 Оловянирование;оловянирование;40;0;
16 Оловянирование;лужение меди;40;0;
16 Оловянирование;гальваническое лужение;10;;
17 Олово-висмут;покрытие олово-висмут;40;0;
17 Олово-висмут;олово висмут покрытие;40;0;
3 Меднение;меднение;100;0;
3 Меднение;меднение металла;70;0;
3 Меднение;гальваническое меднение;60;0;
3 Меднение;меднение алюминия;40;0;
20 Золочение;гальваническое золочение;150;0;
20 Золочение;золочение;100;0;
6 Электрохим. полирование;электрополировка;90;0;
6 Электрохим. полирование;электрохимическая полировка;80;0;
6 Электрохим. полирование;электрохимическая полировка нержавейки;30;0;
6 Электрохим. полирование;электрополировка нержавеющей стали;30;;
6 Электрохим. полирование;электрополировка нержавейки;10;;
Есть: /uslugi/polirovka/;полировка металла;100;0;
Есть: /uslugi/polirovka/;полировка нержавейки;70;0;216
2/21/22/24 Кадмирование;кадмирование;200;0;
2/21/22/24 Кадмирование;кадмирование деталей;30;;
2/21/22/24 Кадмирование;кадмирование с фосфатированием;0;;
15 Хим. оксидирование алюминия;хроматирование;80;0;
15 Хим. оксидирование алюминия;химическое оксидирование алюминия;40;0;
15 Хим. оксидирование алюминия;хроматирование алюминия;10;;
28 Шлифовка круглая;круглая шлифовка;60;0;
28 Шлифовка круглая;круглое шлифование;40;0;
28 Шлифовка круглая;круглошлифовальные работы;20;;
11 Твёрдое анодирование;твердое анодирование алюминия;40;;
11 Твёрдое анодирование;твердое анодирование;20;;
13 Эматалирование;эматалирование;10;;
7 Электроплазменная полировка;электроплазменная полировка;0;;
7 Электроплазменная полировка;плазменная полировка;0;;
26 Свинцевание;свинцевание;0;;
