Запрос;Базовая частотность;Точная частотность;Очень точная частотность;Количество слов в запросе;Количество объявлений;Документов найдено;Средняя цена клика;Является топонимом;Является вопросом;Дата выдачи;
"12х18н10т";69904;3754;3754;1;2;5000;43;0;0;"16.05.2026"
"нержавеющая сталь";543769;3375;3242;2;0;5000;42;0;0;"16.05.2026"
"aisi 304";60583;3239;3227;2;2;5000;23;0;0;"16.05.2026"
"дуплекс";55160;3130;3130;1;0;9000000;64;0;0;"16.05.2026"
"нержавейка";778539;2416;2416;1;0;7000;51;0;0;"16.05.2026"
"гост 9941";11163;2000;1920;2;0;41000;14;0;0;"16.05.2026"
"aisi 430";14322;1308;1288;2;0;5000;20;0;0;"16.05.2026"
"нержавейка труба";66181;1277;164;2;1;15000;65;0;0;"08.05.2026"
"лист нержавейки";28325;971;966;2;0;13000;39;0;0;"16.05.2026"
"нержавеющая труба";70503;967;270;2;0;12000;82;0;0;"16.05.2026"
"aisi 316";14766;963;951;2;1;7000;30;0;0;"16.05.2026"
"нержавейка магнитится или нет";1416;883;845;4;2;17000;10;0;0;"16.05.2026"
"aisi 321";6702;856;848;2;2;7000;20;0;0;"16.05.2026"
"08х18н10";8711;845;845;1;0;23000000;29;0;0;"16.05.2026"
"12х18н10т аналог aisi";1242;838;834;3;0;8000;16;0;0;"16.05.2026"
"труба нержавеющая";64367;805;553;2;0;10000;75;0;0;"16.05.2026"
"сталь 12х18н10т";17612;779;702;2;1;5000;17;0;0;"16.05.2026"
"гост 5582";3248;719;693;2;0;35000;0;0;0;"16.05.2026"
"гост 7350";2784;718;699;2;0;38000;2;0;0;"16.05.2026"
"купить лист нержавейки";8620;693;322;3;0;14000000;45;0;0;"16.05.2026"
"лист нержавейки купить";8620;693;362;3;0;16000;45;0;0;"16.05.2026"
"сталь 20х13";3643;641;381;2;0;6000;12;0;0;"16.05.2026"
"сталь 40х13";5031;608;443;2;3;6000;9;0;0;"16.05.2026"
"aisi 316l";6429;582;582;2;0;8000;36;0;0;"16.05.2026"
"20х13";8333;573;573;1;1;5000;29;0;0;"16.05.2026"
"12х18н10т гост";16098;572;530;2;1;3000000;17;0;0;"16.05.2026"
"40х13";9269;561;561;1;1;5000;20;0;0;"16.05.2026"
"aisi 201";4805;505;500;2;0;7000;18;0;0;"16.05.2026"
"нержавейка лист";28967;503;379;2;2;12000;39;0;0;"16.05.2026"
"лист нержавеющий";17223;416;273;2;2;9000000;63;0;0;"28.04.2026"
"12х18н10т аналог";2295;416;366;2;0;6000;24;0;0;"16.05.2026"
"сталь aisi 304";17133;404;380;3;0;6000;13;0;0;"16.05.2026"
"20х23н18";2891;363;363;1;0;7000;45;0;0;"16.05.2026"
"нержавеющий лист";17523;363;110;2;2;9000000;60;0;0;"05.05.2026"
"электроды для нержавейки";3614;354;354;3;5;4000;13;0;0;"16.05.2026"
"inox";81451;351;351;1;1;7000;11;0;0;"16.05.2026"
"aisi 304 аналог";2149;334;281;3;0;6000;10;0;0;"16.05.2026"
"пищевая нержавейка";6560;334;273;2;0;6000000;20;1;0;"16.05.2026"
"06хн28мдт";2057;331;331;1;0;8000;79;0;0;"16.05.2026"
"аустенитная сталь";5658;327;320;2;0;1000000;14;0;0;"16.05.2026"
"инокс";11616;314;314;1;1;516000;28;0;0;"04.05.2026"
"труба из нержавейки";26191;313;313;3;0;8000000;44;1;0;"16.05.2026"
"температура плавления нержавейки";586;313;313;3;0;145000;4;0;0;"16.05.2026"
"плотность 12х18н10т";792;303;183;2;1;3000000;10;0;0;"05.05.2026"
"нержавеющая сталь гост";8497;285;149;3;0;1000000;17;0;0;"16.05.2026"
"плотность нержавеющей стали";772;274;265;3;2;1000000;13;0;0;"16.05.2026"
"aisi 430 характеристики";780;267;265;3;1;5000;8;0;0;"16.05.2026"
"электроды для сварки нержавейки";1695;264;264;4;2;6000;14;0;0;"02.05.2026"
"aisi 420";1648;262;260;2;0;6000000;14;0;0;"16.05.2026"
"нержавеющая труба гост";4760;246;22;3;0;902000;22;0;0;"12.04.2026"
"нержавейка уголок";4392;223;12;2;1;947000;37;0;0;"21.02.2026"
"полировка нержавейки";1797;216;216;2;4;908000;28;0;0;"16.05.2026"
"нержавеющая проволока";8313;216;79;2;1;7000000;46;0;0;"04.04.2026"
"aisi 304 характеристики";1013;215;214;3;1;6000;5;0;0;"16.05.2026"
"нержавейка цена";27862;214;202;2;0;11000000;23;0;0;"18.05.2026"
"нержавеющая профильная труба";2741;214;18;3;4;21000;64;0;0;"01.05.2026"
"труба профильная нержавеющая";2524;211;115;3;1;22000;55;0;0;"13.04.2026"
"нержавейка купить";112475;209;204;2;0;16000;48;0;0;"16.05.2026"
"профильная нержавеющая труба";2656;208;30;3;4;19000;65;0;0;"08.05.2026"
"нержавеющая труба купить";9142;207;85;3;2;0;75;0;0;"08.05.2026"
"нержавеющая лента";5171;206;44;2;0;14000;131;0;0;"20.05.2026"
"лента нержавеющая";5009;203;161;2;4;8000000;143;0;0;"10.03.2026"
"12х18н10т труба";10549;201;37;2;5;16000;97;0;0;"28.04.2026"
"30х13";2937;199;199;1;1;7000;17;0;0;"16.05.2026"
"купить лист нержавеющий";3255;195;27;3;0;7000000;70;0;0;"22.02.2026"
"купить нержавеющий лист";3255;195;46;3;0;17000;70;0;0;"17.05.2026"
"лист нержавеющий купить";3255;195;64;3;0;16000;70;0;0;"08.04.2026"
"нержавеющий лист купить";3264;194;56;3;5;17000;71;0;0;"11.04.2026"
"купить нержавейку";110566;190;184;2;3;12000000;60;0;0;"06.04.2026"
"нержавейка 12х18н10т";1500;186;139;2;1;11000;49;0;0;"07.05.2026"
"труба нержавеющая гост";3959;186;147;3;2;568000;24;0;0;"06.05.2026"
"проволока нержавеющая";8076;183;132;2;0;13000;42;0;0;"07.05.2026"
"сталь aisi 430";4419;180;164;3;1;8000000;12;0;0;"16.05.2026"
"сталь 30х13";1212;178;145;2;3;7000;12;0;0;"02.05.2026"
"aisi 310s";1079;176;175;2;0;12000;20;0;0;"16.05.2026"
"08х18н10 гост";1405;173;160;2;1;3000000;14;0;0;"17.05.2026"
"плотность нержавейки";478;171;171;2;0;42000;6;0;0;"06.04.2026"
"aisi 316 аналог";909;170;120;3;0;7000;14;0;0;"12.04.2026"
"квадрат нержавеющий";1012;165;162;2;1;8000000;67;0;0;"24.02.2026"
"нержавеющий металлопрокат";2302;165;159;2;5;0;123;0;0;"03.05.2026"
"труба нержавеющая купить";8476;165;95;3;10;15000000;75;0;0;"07.05.2026"
"металлопрокат нержавеющий";2242;162;4;2;2;900000;126;0;0;"09.02.2026"
"круг нержавеющий";3556;160;150;2;1;8000000;84;0;0;"24.02.2026"
"нержавеющий прокат";1479;160;157;2;1;13000;107;0;0;"07.05.2026"
"пруток нержавеющий";3235;154;145;2;2;14000;51;0;0;"05.05.2026"
"нержавеющий пруток";3351;153;10;2;0;893000;52;0;0;"09.03.2026"
"саморезы нержавеющие";4799;152;82;2;6;17000;29;0;0;"28.04.2026"
"нержавеющая полоса";3061;151;13;2;0;16000;43;0;0;"18.05.2026"
"aisi 304 труба";7031;145;30;3;0;2000000;74;0;0;"23.02.2026"
"нержавейка aisi 304";2810;144;134;3;1;8000;33;0;0;"06.04.2026"
"дуплексная сталь";864;144;143;2;0;2000000;19;0;0;"02.05.2026"
"полоса нержавеющая";2828;141;126;2;2;11000;44;0;0;"06.04.2026"
"уголок из нержавейки";1625;140;140;3;2;7000000;29;0;0;"16.04.2026"
"aisi 321 аналог";734;138;120;3;1;8000;5;0;0;"16.05.2026"
"бесшовная нержавеющая труба";4210;134;8;3;2;8000000;114;0;0;"02.05.2026"
"12х18н10т лист";3686;134;19;2;1;23000000;55;0;0;"17.05.2026"
"нержавеющая сталь купить";42132;134;122;3;3;18000;33;0;0;"04.05.2026"
"сталь 08х18н10";2796;131;114;2;5;5000;13;0;0;"28.04.2026"
"ограждения из нержавейки";1966;129;129;3;14;7000000;199;1;0;"30.04.2026"
"aisi 304 лист";4026;126;11;3;0;19000;53;0;0;"07.05.2026"
"нержавеющий круг";3631;126;9;2;1;7000000;82;0;0;"29.04.2026"
"почему нержавейка магнитится";417;118;61;3;0;587000;3;0;1;"23.02.2026"
"нержавеющий фланец";7108;118;12;2;2;7000000;120;0;0;"28.04.2026"
"мартенситная сталь";2110;117;116;2;0;2000000;7;0;0;"11.04.2026"
"сталь 12х13";646;117;57;2;3;3000000;7;0;0;"14.02.2026"
"нержавеющий уголок";4713;116;16;2;1;8000000;35;0;0;"01.05.2026"
"aisi 904l";749;113;113;2;2;919000;44;0;0;"28.04.2026"
"квадрат нержавеющий купить";172;110;108;3;0;20000;48;0;0;"01.05.2026"
"сталь aisi 316";3250;110;94;3;1;8000;15;0;0;"09.04.2026"
"уголок нержавеющий";4180;109;90;2;1;6000;42;0;0;"06.04.2026"
"труба нержавеющая aisi 304";2425;109;83;4;0;14000;66;0;0;"12.04.2026"
"отводы нержавеющие";6122;108;63;2;2;7000000;138;0;0;"18.02.2026"
"12х13";2005;108;108;1;2;19000000;14;0;0;"21.02.2026"
"нержавеющие отводы";6278;107;43;2;0;18000;120;0;0;"18.05.2026"
"нержавейка проволока";10043;102;11;2;2;18000;25;0;0;"01.05.2026"
"нержавеющие фланцы";7118;102;10;2;6;22000;177;0;0;"05.04.2026"
"нержавейка цена за кг";4855;99;89;4;0;20000;9;0;0;"11.04.2026"
"нержавеющий швеллер";720;98;6;2;2;15000;46;0;0;"04.04.2026"
"aisi 304 состав";333;96;82;3;0;5000;6;0;0;"08.05.2026"
"20х13 гост";1005;94;84;2;0;2000000;2;0;0;"03.05.2026"
"нержавеющий отвод";6278;92;7;2;1;17000;84;0;0;"11.04.2026"
"aisi 304l";1390;90;90;2;0;9000;22;0;0;"18.05.2026"
"40х13 гост";752;90;79;2;1;2000000;7;0;0;"30.04.2026"
"сталь aisi 201";1690;88;64;3;1;8000;7;0;0;"30.04.2026"
"12х18н10т характеристики";1065;86;86;2;1;3000000;5;0;0;"09.03.2026"
"aisi 316ti";891;81;80;2;2;9000;16;0;0;"08.05.2026"
"aisi 201 характеристики";303;81;80;3;2;3000;3;0;0;"04.05.2026"
"aisi 410";457;80;79;2;2;0;14;0;0;"03.04.2026"
"лист нержавеющий 12х18н10т";485;77;10;3;4;24000000;78;0;0;"03.05.2026"
"что такое нержавеющая сталь";725;76;75;4;0;1000000;2;0;1;"08.05.2026"
"aisi 316l аналог";571;76;59;3;0;9000;13;0;0;"03.05.2026"
"нержавейка полоса";1724;74;19;2;3;14000;15;0;0;"24.02.2026"
